"id"	"name"	"numberlinks"	"school"	"major"	"subject_code"	"instructors"	"updated_at"	"category"	"lang"	"target_students_from"	"target_year"	"elecCompul"	"unit"	"year"	"quarter"	"day_time"	"classroom"	"area"
21171408	"外国書講読２（日本語経済）③"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"儲　梅芬\"]"	"2021-03-21T11:11:25.728Z"	"選択必修科目"	"英語及び日本語を併用（E/J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"月曜日\",\"２時限\"]]"	"-"	"伊都地区"
21171409	"外国書講読２（日本語経済）④"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"儲　梅芬\"]"	"2021-03-21T11:11:25.728Z"	"選択必修科目"	"英語及び日本語を併用（E/J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"月曜日\",\"２時限\"]]"	"-"	"伊都地区"
21171410	"外国書講読２（日本語経済）⑤"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"儲　梅芬\"]"	"2021-03-21T11:11:25.728Z"	"選択必修科目"	"英語及び日本語を併用（E/J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"月曜日\",\"２時限\"]]"	"-"	"伊都地区"
21171411	"外国書講読２（英語経済）①"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"虞　尤楠\"]"	"2021-04-08T05:56:28.641Z"	"選択必修科目"	"日本語（J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"木曜日\",\"３時限\"]]"	"-"	"伊都地区"
21171412	"外国書講読２（英語経済）②"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"虞　尤楠\"]"	"2021-04-08T05:56:28.642Z"	"選択必修科目"	"日本語（J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"木曜日\",\"３時限\"]]"	"-"	"伊都地区"
21171413	"外国書講読２（英語経済）③"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"虞　尤楠\"]"	"2021-04-08T05:56:28.642Z"	"選択必修科目"	"日本語（J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"木曜日\",\"３時限\"]]"	"-"	"伊都地区"
21171414	"外国書講読２（英語経済）④"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"虞　尤楠\"]"	"2021-04-08T05:56:28.639Z"	"選択必修科目"	"日本語（J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"木曜日\",\"３時限\"]]"	"-"	"伊都地区"
21171415	"外国書講読２（英語経済）⑤"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"虞　尤楠\"]"	"2021-04-08T05:56:28.641Z"	"選択必修科目"	"日本語（J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"木曜日\",\"３時限\"]]"	"-"	"伊都地区"
21171416	"外国書講読２（独語経済）①"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"潮崎　智美\"]"	"2021-04-02T07:52:41.630Z"	"選択必修科目"	"日本語（J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"木曜日\",\"３時限\"]]"	"-"	"伊都地区"
21171417	"外国書講読２（独語経済）②"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"潮崎　智美\"]"	"2021-04-02T07:52:41.630Z"	"選択必修科目"	"日本語（J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"木曜日\",\"３時限\"]]"	"-"	"伊都地区"
21171418	"外国書講読２（独語経済）③"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"潮崎　智美\"]"	"2021-04-02T07:52:41.629Z"	"選択必修科目"	"日本語（J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"木曜日\",\"３時限\"]]"	"-"	"伊都地区"
21171419	"外国書講読２（独語経済）④"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"潮崎　智美\"]"	"2021-04-02T07:52:41.629Z"	"選択必修科目"	"日本語（J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"木曜日\",\"３時限\"]]"	"-"	"伊都地区"
21171420	"外国書講読２（独語経済）⑤"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"潮崎　智美\"]"	"2021-04-02T07:52:41.630Z"	"選択必修科目"	"日本語（J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"木曜日\",\"３時限\"]]"	"-"	"伊都地区"
21171421	"外国書講読２（中国語経済）①"	"[\"ECO-ECB3911J\"]"	"ECO"	"ECB"	"3911J"	"[\"堀井　伸浩\"]"	"2021-04-01T08:05:40.838Z"	"選択必修科目"	"日本語（J）"	"経済学部"	"2,3,4年"	1	2	2021	"前期"	"[[\"金曜日\",\"３時限\"]]"	"-"	"伊都地区"
