"id"	"name"	"numberlinks"	"school"	"major"	"subject_code"	"instructors"	"updated_at"	"category"	"lang"	"unit"	"year"	"quarter"	"day_time"	"area"	"classroom"	"target_students_from"
21532863	"Speaking Courses：Pre-Advanced A"	"[\"KED-LCB1853J\"]"	"KED"	"LCB"	"1853J"	"[\"高嶋　文\"]"	"2021-09-13T03:04:30.458Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"秋学期"	"[[\"火曜日\",\"４時限\"],[\"木曜日\",\"４時限\"]]"	"伊都地区"		
21532864	"Speaking Courses：Pre-Advanced B"	"[\"KED-LCB1854J\"]"	"KED"	"LCB"	"1854J"	"[\"高嶋　文\"]"	"2021-09-13T03:27:13.240Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"４時限\"],[\"木曜日\",\"４時限\"]]"	"伊都地区"		
21532865	"Speaking Courses：Pre-Intermediate A"	"[\"KED-LCB1847J\"]"	"KED"	"LCB"	"1847J"	"[\"井手　玲奈\"]"	"2021-09-23T20:50:51.648Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"秋学期"	"[[\"火曜日\",\"４時限\"],[\"木曜日\",\"４時限\"]]"	"伊都地区"		
21532866	"Speaking Courses：Pre-Intermediate B"	"[\"KED-LCB1848J\"]"	"KED"	"LCB"	"1848J"	"[\"井手　玲奈\"]"	"2021-09-23T20:51:26.665Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"４時限\"],[\"木曜日\",\"４時限\"]]"	"伊都地区"		
21532888	"学術英語・プロダクション１"	"[\"KED-LCB1155W\"]"	"KED"	"LCB"	"1155W"	"[\"ブルックス、ブリトン\"]"	"2021-09-02T07:11:27.963Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	1	2021	"秋学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532889	"学術英語・プロダクション２"	"[\"KED-LCB1156W\"]"	"KED"	"LCB"	"1156W"	"[\"ブルックス、ブリトン\"]"	"2021-09-02T07:11:28.089Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	1	2021	"冬学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532890	"学術英語・プロダクション１"	"[\"KED-LCB1155W\"]"	"KED"	"LCB"	"1155W"	"[\"志水　俊広\"]"	"2021-10-05T00:05:48.377Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	1	2021	"秋学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532892	"学術英語・プロダクション１"	"[\"KED-LCB1155W\"]"	"KED"	"LCB"	"1155W"	"[\"谷口　秀子\"]"	"2021-09-17T02:58:51.873Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	1	2021	"秋学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532893	"学術英語・プロダクション２"	"[\"KED-LCB1156W\"]"	"KED"	"LCB"	"1156W"	"[\"谷口　秀子\"]"	"2021-09-17T02:59:17.036Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	1	2021	"冬学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21532894	"学術英語・プロダクション１"	"[\"KED-LCB1155W\"]"	"KED"	"LCB"	"1155W"	"[\"江口　巧\"]"	"2021-10-07T08:36:04.404Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	1	2021	"秋学期"	"[[\"火曜日\",\"４時限\"]]"	"伊都地区"		
