"id"	"name"	"numberlinks"	"school"	"major"	"subject_code"	"instructors"	"updated_at"	"category"	"lang"	"target_students_from"	"target_year"	"elecCompul"	"unit"	"year"	"quarter"	"day_time"	"classroom"	"area"
21705316	"プラットフォーム演習 C"	"[\"DES-DFT3612J\"]"	"DES"	"DFT"	"3612J"	"[\"長津　結一郎\",\"丸山　修\",\"井上　滋樹\"]"	"2021-05-26T04:38:28.145Z"	"コース演習科目 (PBL)　Course Seminar Subjects"	"日本語（J）"	"芸術工学部　未来構想デザインコース　Design Futures Course"	"学部2年　Undergraduate second grade"	1	4	2021	"冬学期"	"[[\"金曜日\",\"３時限\"],[\"金曜日\",\"４時限\"],[\"金曜日\",\"５時限\"]]"	"7号館1F ワークショップ室"	"大橋地区"
21704303	"プログラミング基礎"	"[\"DES-DFT1351J\"]"	"DES"	"DFT"	"1351J"	"[\"伊藤　浩史\",\"関　元秀\"]"	"2021-05-11T01:07:44.959Z"	"コース基礎科目　Course Fundamental Subjects"	"日本語（J）"	"芸術工学部　未来構想デザインコース　Design Futures Course"	"学部2年　Undergraduate second grade"	3	1	2021	"春学期"	"[[\"水曜日\",\"２時限\"],[\"水曜日\",\"３時限\"]]"	"遠隔／Online"	"大橋地区"
21704313	"プログラミング設計"	"[\"DES-DFT2341J\"]"	"DES"	"DFT"	"2341J"	"[\"関　元秀\",\"伊藤　浩史\"]"	"2021-05-26T15:02:57.765Z"	"コース専門科目　Course Specialized Subjects"	"日本語（J）"	"芸術工学部　未来構想デザインコース　Design Futures Course"	"学部2年　Undergraduate second grade"	1	1	2021	"夏学期"	"[[\"水曜日\",\"３時限\"],[\"水曜日\",\"４時限\"]]"	"遠隔／Online"	"大橋地区"
21704202	"プロダクトデザイン概論"	"[\"DES-IND2231J\"]"	"DES"	"IND"	"2231J"	"[\"杉本　美貴\",\"迫坪　知広\",\"平井　康之\",\"藤　智亮\"]"	"2021-03-24T04:38:50.253Z"	"コース基礎科目　Course Fundamental Subjects"	"日本語（J）"	"芸術工学部　インダストリアルデザインコース　Industrial Design Course"	"学部2年　Undergraduate second grade"	3	1	2021	"春学期"	"[[\"木曜日\",\"５時限\"]]"	"512"	"大橋地区"
21704207	"プロダクトデザイン実践論"	"[\"DES-IND2232J\"]"	"DES"	"IND"	"2232J"	"[\"平井　康之\",\"迫坪　知広\",\"杉本　美貴\",\"藤　智亮\"]"	"2021-04-06T16:34:37.649Z"	"コース専門科目　Course Specialized Subjects"	"日本語（J）"	"芸術工学部　インダストリアルデザインコース　Industrial Design Course"	"学部2年　Undergraduate second grade"	1	1	2021	"夏学期"	"[[\"木曜日\",\"５時限\"]]"	"512"	"大橋地区"
21704204	"プロダクトデザイン実践論・演習Ⅰ"	"[\"DES-IND2231J\"]"	"DES"	"IND"	"2231J"	"[\"杉本　美貴\",\"平井　康之\",\"迫坪　知広\",\"藤　智亮\"]"	"2021-05-25T13:14:40.430Z"	"コース演習科目 (PBL)　Course Seminar Subjects"	"日本語（J）"	"芸術工学部　インダストリアルデザインコース　Industrial Design Course"	"学部2年　Undergraduate second grade"	1	2	2021	"春学期"	"[[\"月曜日\",\"３時限\"],[\"月曜日\",\"４時限\"]]"	"共同製図室，ワークショップ，工作工房1～３F/5building4F drafting room,7 building 1F Workshop room,Desgin Workshop 1-3F"	"大橋地区"
21704210	"プロダクトデザイン実践論・演習Ⅱ"	"[\"DES-IND2232J\"]"	"DES"	"IND"	"2232J"	"[\"迫坪　知広\",\"杉本　美貴\",\"藤　智亮\",\"平井　康之\"]"	"2021-04-06T16:39:33.274Z"	"コース演習科目 (PBL)　Course Seminar Subjects"	"日本語（J）"	"芸術工学部　インダストリアルデザインコース　Industrial Design Course"	"学部2年　Undergraduate second grade"	1	2	2021	"夏学期"	"[[\"月曜日\",\"３時限\"],[\"月曜日\",\"４時限\"]]"	"共同製図室，ワークショップ，工作工房1～３F/5building4F drafting room,7 building 1F Workshop room,Desgin Workshop 1-3F"	"大橋地区"
21704003	"文化とデザイン"	"[\"DES-END2031J\",\"DES-IND2031J\",\"DES-DFT2031J\",\"DES-MED2031J\",\"DES-ACD2031J\"]"	"DES"	"END"	"2031J"	"[\"古賀　徹\",\"増田　展大\"]"	"2021-05-28T06:09:25.942Z"	"デザインリテラシー科目　Design Literacy Subjects"	"日本語（J）"	"芸術工学部　共通　Environmental Design Course/Industrial Design Course/Design Futures Course/Media Design Course/Acoustic Design Course"	"学部2年　Undergraduate second grade"	1	1	2021	"春学期"	"[[\"金曜日\",\"２時限\"]]"	"511"	"大橋地区"
21702105	"ポートフォリオマネジメント"	"[\"DES-END3871W\"]"	"DES"	"END"	"3871W"	"[\"都甲　康至\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"芸術工学部　環境設計学科　Department of Environmental Design"	"学部3年　Undergraduate third grade"	1	2	2021	"後期"	"[[\"木曜日\",\"２時限\"]]"	"7号館ﾜｰｸｼｮｯﾌﾟ室／7 building 1F Workshop room"	"大橋地区"
21705301	"未来構想デザイン概論"	"[\"DES-DFT1621J\"]"	"DES"	"DFT"	"1621J"	"[\"LOH Wei Leong\",\"高木　英行\",\"池田　美奈子\",\"伊藤　浩史\",\"稲村　徳州\",\"尾方　義人\",\"古賀　徹\",\"近藤　加代子\",\"関　元秀\",\"谷　正和\",\"長津　結一郎\",\"平松　千尋\",\"ホール，Ｍ．\",\"丸山　修\"]"	"2021-05-25T06:14:29.124Z"	"コース基礎科目　Course Fundamental Subjects"	"日本語（J）"	"芸術工学部　未来構想デザインコース　Design Futures Course"	"学部1年　Undergraduate first grade"	1	1	2021	"秋学期"	"[[\"火曜日\",\"５時限\"]]"	"未定/　TBA"	"伊都地区"
21704406	"メカニクスデザイン"	"[\"DES-MED2311J\"]"	"DES"	"MED"	"2311J"	"[\"竹之内　和樹\"]"	"2021-05-29T10:07:17.526Z"	"コース専門科目　Course Specialized Subjects"	"英語及び日本語を併用（E/J）"	"芸術工学部　メディアデザインコース　Media Design Course"	"学部2年　Undergraduate second grade"	1	2	2021	"春学期"	"[[\"月曜日\",\"３時限\"],[\"水曜日\",\"３時限\"]]"	"521"	"大橋地区"
21702302	"メディア環境計画"	"[\"DES-VCD3411J\"]"	"DES"	"VCD"	"3411J"	"[\"工藤　真生\",\"藤　紀里子\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"芸術工学部　画像設計学科　Department of Visual Communication Design"	"学部3年　Undergraduate third grade"	1	2	2021	"後期"	"[[\"火曜日\",\"４時限\"]]"	"531"	"大橋地区"
21705413	"メディアサイエンス演習Ⅰ"	"[\"DES-MED2541J\"]"	"DES"	"MED"	"2541J"	"[\"妹尾　武治\"]"	"2021-03-29T05:26:39.524Z"	"コース演習科目 (PBL)　Course Seminar Subjects"	"英語及び日本語を併用（E/J）"	"芸術工学部　メディアデザインコース　Media Design Course"	"学部2年　Undergraduate second grade"	1	2	2021	"冬学期"	"[[\"木曜日\",\"３時限\"],[\"木曜日\",\"４時限\"]]"	"7号館ｼｱﾀｰﾙｰﾑ/ 7 building 1F Theater room"	"大橋地区"
21700501	"メディア情報処理（2019年度以前入学者対象）"	"[\"DES-AID3521J\"]"	"DES"	"AID"	"3521J"	"[\"高木　英行\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"芸術工学部　芸術情報設計学科　Department of Art and Information Design"	"学部3年　Undergraduate third grade"	1	2	2021	"春学期"	"[[\"月曜日\",\"４時限\"],[\"月曜日\",\"５時限\"]]"	"遠隔　/　Online"	"大橋地区"
21704407	"メディア情報処理（2020年度入学者対象）"	"[\"DES-MED2321J\"]"	"DES"	"MED"	"2321J"	"[\"小野　直樹\"]"	"2021-05-26T05:47:23.680Z"	"コース専門科目　Course Specialized Subjects"	"英語及び日本語を併用（E/J）"	"芸術工学部　メディアデザインコース　Media Design Course"	"学部2年　Undergraduate second grade"	1	2	2021	"春学期"	"[[\"月曜日\",\"２時限\"],[\"水曜日\",\"２時限\"]]"	"531"	"大橋地区"
